UUID,Source ID,Name,Short Name,Video Definition,Follow DTCP,Value,Encryption Mode,Program Provision,EMI,APS,CIT,RCT
88da2b60-e291-40e2-a6ff-a58a85fdd77d,4151,MTV,MTV,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
9019627d-b9e3-4977-bccd-50ddb27b7849,4117,E!,E!,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_ONCE,OFF,OFF,OFF
5cb6e8bd-a1aa-4386-8134-09f582627373,12027,Encore Suspense,Suspence,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_NEVER,OFF,OFF,OFF
f589defe-6424-43ab-8652-dfc4b0ebd69b,6910,Jewelry,Jewelry,SD,OFF,NORMAL,FWK,INTERNAL,COPY_FREELY,OFF,OFF,OFF
298933a0-6bc9-4228-8410-ed4119da731e,11543,Fox Sports 2 HD,FS2 HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
0fcffee2-a302-46e0-8264-09b571edf3f4,23793,USA HD,USA HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
f2dfefe6-a814-4374-be1b-384b9631895f,14182,SpikeNew,Spike NEW,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
e110f36b-f2cd-490b-a8a6-4ce06dd1b846,16098,History HD,Hist HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
2b1594d5-09dd-42c9-9d79-89194a602b65,11471,Food Network,Food,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_ONCE,OFF,OFF,OFF
4cd1c963-e22e-428c-bb3f-bdd55ab4d3f9,4105,CSPAN,CSPAN,SD,OFF,NORMAL,CLEAR,INTERNAL,COPY_FREELY,OFF,OFF,OFF
2ae7ee6e-fbcd-48a7-81f1-ca3b13d650a7,11717,Starz HD,Starz HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
43eca1be-12bd-476e-907f-aef704f2cc77,4557,TV Land,TV Land,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
fa5d9366-ba40-4726-85b6-b7177b1341ae,19069,A&E HD,A&E HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
d00afdaa-7dc5-44ed-8f72-44a295933ce7,18292,MSNBC HD,MSNBC HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
9eac348b-81cb-40cf-9037-26ff67aa5f08,16191,Discovery Family HD,Family HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
7fbcec8e-7600-4226-900f-357f7cb2f286,4126,FX,FX,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
c0f43776-3a3d-485f-8ba6-bb5a72ec7dc3,23981,Disney Jr,Junior,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
5534dae1-1040-49a0-9830-4cceca0f034a,4150,MSNBC,MSNBC,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
bcbb01c9-94c2-4822-98cc-420520bdd480,13907,Food Network HD,Food HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
